,model,epochs,weights,criterion,optimizer,learning_rate,L1_norm,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.0003_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5836,7480.394845720418,-0.7429030181202683,1936.8916563799808,4801.996742251442,0.8679,2760.4387515094595,0.7125595500176967
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.0003_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.5951,7264.647163938824,-0.6753883108059595,1936.8916563799808,4801.996742251442,0.8838,2597.2919602844486,0.7695022401931908
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.01_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.01,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.01_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.1_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.1,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.1_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_1_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_1_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_LBFGS_learningrate_0.0003_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,LBFGS,0.0003,0.0,1910.8337724711569,5106.399455325999,0.4151,17595.218105715052,-3.908171475678084,1936.8916563799808,4801.996742251442,0.4021,17885.20252985375,-4.566396483018657
MLP_modelID_1_weights_balanced_optimizer_LBFGS_learningrate_0.0003_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,LBFGS,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.3426,23996.51939898041,-5.911353988123452,1936.8916563799808,4801.996742251442,0.3385,23524.49994968469,-6.534665447267021
