,model,dropout,activation,epochs,weights,criterion,optimizer,learning_rate,L1_norm,L2_norm,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
MLP_modelID_5_weights_normal_optimizer_SGD_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Dropout,Yes,ReLU,200.0,normal,CrossEntropyLoss,SGD,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.586,5119.812895089884,-0.0041975165260572,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_5_weights_normal_optimizer_Adam_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Dropout,Yes,ReLU,200.0,normal,CrossEntropyLoss,Adam,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.4534,17977.7926884894,-4.027891932318037,1936.8916563799808,4801.996742251442,0.986,2138.445997584865,0.929652024912176
MLP_modelID_5_weights_balanced_optimizer_SGD_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Dropout,Yes,ReLU,200.0,balanced,CrossEntropyLoss,SGD,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_5_weights_balanced_optimizer_Adam_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Dropout,Yes,ReLU,200.0,balanced,CrossEntropyLoss,Adam,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.5141,14787.673080225384,-3.029596192261761,1936.8916563799808,4801.996742251442,0.9216,3717.595387092446,0.3784857178560208
MLP_modelID_6_weights_normal_optimizer_SGD_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large,No,ReLU,200.0,normal,CrossEntropyLoss,SGD,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.5508,12294.015749932923,-2.24924692775699,1936.8916563799808,4801.996742251442,0.9947,2049.386439688716,0.9607362452904522
MLP_modelID_6_weights_normal_optimizer_Adam_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large,No,ReLU,200.0,normal,CrossEntropyLoss,Adam,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.4526,17348.396740005366,-3.830932767353621,1936.8916563799808,4801.996742251442,0.9987,1951.2424238561653,0.9949911898356012
MLP_modelID_6_weights_balanced_optimizer_SGD_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large,No,ReLU,200.0,balanced,CrossEntropyLoss,SGD,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5105.650236114838,0.0002344558946734,1936.8916563799808,4801.996742251442,0.623,4294.525409902052,0.1771213680265536
MLP_modelID_6_weights_balanced_optimizer_Adam_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large,No,ReLU,200.0,balanced,CrossEntropyLoss,Adam,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.4537,18140.78766836597,-4.078898544621798,1936.8916563799808,4801.996742251442,0.9953,1951.4883060512543,0.9949053702276914
MLP_modelID_7_weights_normal_optimizer_SGD_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Dropout_Leaky,Yes,Leaky ReLU,200.0,normal,CrossEntropyLoss,SGD,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5873,4801.996606735543,4.729875346942691e-08
MLP_modelID_7_weights_normal_optimizer_Adam_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Dropout_Leaky,Yes,Leaky ReLU,200.0,normal,CrossEntropyLoss,Adam,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.4577,17928.54780520526,-4.012481551755887,1936.8916563799808,4801.996742251442,0.9877,2125.669017845163,0.9341115401329992
MLP_modelID_7_weights_balanced_optimizer_SGD_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Dropout_Leaky,Yes,Leaky ReLU,200.0,balanced,CrossEntropyLoss,SGD,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_7_weights_balanced_optimizer_Adam_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Dropout_Leaky,Yes,Leaky ReLU,200.0,balanced,CrossEntropyLoss,Adam,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.498,14222.543243895896,-2.852748055682508,1936.8916563799808,4801.996742251442,0.9542,2248.9000020126123,0.8911005578220426
MLP_modelID_8_weights_normal_optimizer_SGD_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Leaky,No,Leaky ReLU,200.0,normal,CrossEntropyLoss,SGD,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.5436,12785.296672927288,-2.40298525509923,1936.8916563799808,4801.996742251442,0.9978,1991.16676573192,0.981056503086193
MLP_modelID_8_weights_normal_optimizer_Adam_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Leaky,No,Leaky ReLU,200.0,normal,CrossEntropyLoss,Adam,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.4559,17570.20133351221,-3.900342886099386,1936.8916563799808,4801.996742251442,0.9995,1937.3890500469608,0.9998263960126864
MLP_modelID_8_weights_balanced_optimizer_SGD_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Leaky,No,Leaky ReLU,200.0,balanced,CrossEntropyLoss,SGD,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.5865,5105.057724711564,0.0004198726446568,1936.8916563799808,4801.996742251442,0.6002,4748.737471487992,0.0185889414758588
MLP_modelID_8_weights_balanced_optimizer_Adam_learningrate_0.01_l1Norm_0_l2Norm_0,Very_Large_Leaky,No,Leaky ReLU,200.0,balanced,CrossEntropyLoss,Adam,0.01,0.0,0.0,1910.8337724711569,5106.399455325999,0.4451,17824.976356318755,-3.980070561288004,1936.8916563799808,4801.996742251442,0.9934,1958.9437105863408,0.9923032302322508
MLP_modelID_5_weights_normal_optimizer_SGD_learningrate_0.01_l1Norm_0_l2Norm_0.0001,Very_Large_Dropout,Yes,ReLU,200.0,normal,CrossEntropyLoss,SGD,0.01,0.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
