,C,kernel,class_weight,degree,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
SVM_C_0.01_kernel_rbf_classweight_None_degree_3,0.01,rbf,,3.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
SVM_C_0.01_kernel_rbf_classweight_balanced_degree_3,0.01,rbf,balanced,3.0,1910.8337724711569,5106.399455325999,0.1293,32760.049680708344,-8.653757415706513,1936.8916563799808,4801.996742251442,0.1198,32654.185305917083,-9.72117522006842
SVM_C_0.1_kernel_rbf_classweight_None_degree_3,0.1,rbf,,3.0,1910.8337724711569,5106.399455325999,0.616,4983.015717735445,0.0386109220826047,1936.8916563799808,4801.996742251442,0.6183,4676.81801288072,0.0436907986335333
SVM_C_0.1_kernel_rbf_classweight_balanced_degree_3,0.1,rbf,balanced,3.0,1910.8337724711569,5106.399455325999,0.1591,32739.96160719077,-8.647471181746326,1936.8916563799808,4801.996742251442,0.1522,32573.04845699718,-9.69285624171052
SVM_C_0.2_kernel_rbf_classweight_None_degree_3,0.2,rbf,,3.0,1910.8337724711569,5106.399455325999,0.616,4983.015717735445,0.0386109220826047,1936.8916563799808,4801.996742251442,0.6183,4676.81801288072,0.0436907986335333
SVM_C_0.2_kernel_rbf_classweight_balanced_degree_3,0.2,rbf,balanced,3.0,1910.8337724711569,5106.399455325999,0.4937,11972.050316608533,-2.148493112852847,1936.8916563799808,4801.996742251442,0.6419,7663.751118341607,-0.9988305106860412
SVM_C_1_kernel_rbf_classweight_None_degree_3,1.0,rbf,,3.0,1910.8337724711569,5106.399455325999,0.6195,5007.938475986048,0.0308117526321626,1936.8916563799808,4801.996742251442,0.7942,4046.157315175097,0.2638086228681716
SVM_C_1_kernel_rbf_classweight_balanced_degree_3,1.0,rbf,balanced,3.0,1910.8337724711569,5106.399455325999,0.5694,12078.478559162866,-2.181798090161044,1936.8916563799808,4801.996742251442,0.9666,2852.605489064806,0.6803908389955973
SVM_C_0.01_kernel_poly_classweight_None_degree_2,0.01,poly,,2.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
SVM_C_0.01_kernel_poly_classweight_None_degree_3,0.01,poly,,3.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5932,4776.493391251845,0.0089013666986805
SVM_C_0.01_kernel_poly_classweight_balanced_degree_2,0.01,poly,balanced,2.0,1910.8337724711569,5106.399455325999,0.3112,29226.08107324926,-7.547859756828815,1936.8916563799808,4801.996742251442,0.3982,26454.278528109488,-7.5572382641847184
SVM_C_0.01_kernel_poly_classweight_balanced_degree_3,0.01,poly,balanced,3.0,1910.8337724711569,5106.399455325999,0.3947,22272.59948752348,-5.371881455699449,1936.8916563799808,4801.996742251442,0.5921,16812.62426875084,-4.1920373482029545
SVM_C_0.1_kernel_poly_classweight_None_degree_2,0.1,poly,,2.0,1910.8337724711569,5106.399455325999,0.5873,5197.283903944191,-0.0284408012971892,1936.8916563799808,4801.996742251442,0.6172,4706.898784382128,0.0331917870441351
SVM_C_0.1_kernel_poly_classweight_None_degree_3,0.1,poly,,3.0,1910.8337724711569,5106.399455325999,0.6177,7201.025682854844,-0.6554790091679652,1936.8916563799808,4801.996742251442,0.9626,2371.965828525426,0.8481472200475638
SVM_C_0.1_kernel_poly_classweight_balanced_degree_2,0.1,poly,balanced,2.0,1910.8337724711569,5106.399455325999,0.3958,21659.40739737054,-5.179993023099584,1936.8916563799808,4801.996742251442,0.6025,15872.81381188783,-3.864017806617048
SVM_C_0.1_kernel_poly_classweight_balanced_degree_3,0.1,poly,balanced,3.0,1910.8337724711569,5106.399455325999,0.5648,11607.780423933458,-2.034500809509032,1936.8916563799808,4801.996742251442,0.9785,2667.5441902589564,0.7449822914063422
SVM_C_0.2_kernel_poly_classweight_None_degree_2,0.2,poly,,2.0,1910.8337724711569,5106.399455325999,0.5978,5762.887260531258,-0.2054371182941132,1936.8916563799808,4801.996742251442,0.6729,4650.17883671005,0.0529885993676265
SVM_C_0.2_kernel_poly_classweight_None_degree_3,0.2,poly,,3.0,1910.8337724711569,5106.399455325999,0.6093,8095.06687952777,-0.9352545748744449,1936.8916563799808,4801.996742251442,0.9999,1937.05222393667,0.9999439575331877
SVM_C_0.2_kernel_poly_classweight_balanced_degree_2,0.2,poly,balanced,2.0,1910.8337724711569,5106.399455325999,0.4188,20363.463560504428,-4.774448601396961,1936.8916563799808,4801.996742251442,0.6738,13226.44396484637,-2.940362384660149
SVM_C_0.2_kernel_poly_classweight_balanced_degree_3,0.2,poly,balanced,3.0,1910.8337724711569,5106.399455325999,0.6109,8233.349729004562,-0.9785279302677388,1936.8916563799808,4801.996742251442,0.9995,1960.0307238695827,0.99192383288009
SVM_C_1_kernel_poly_classweight_None_degree_2,1.0,poly,,2.0,1910.8337724711569,5106.399455325999,0.6177,7730.965452106252,-0.8213149899755865,1936.8916563799808,4801.996742251442,0.9683,2375.832792164229,0.8467975440242053
SVM_C_1_kernel_poly_classweight_None_degree_3,1.0,poly,,3.0,1910.8337724711569,5106.399455325999,0.6099,8106.2690313925405,-0.9387601050298328,1936.8916563799808,4801.996742251442,1.0,1936.8916563799808,1.0
SVM_C_1_kernel_poly_classweight_balanced_degree_2,1.0,poly,balanced,2.0,1910.8337724711569,5106.399455325999,0.5627,12071.12891870137,-2.1794981404210243,1936.8916563799808,4801.996742251442,0.9767,2770.444910774185,0.7090671268901583
SVM_C_1_kernel_poly_classweight_balanced_degree_3,1.0,poly,balanced,3.0,1910.8337724711569,5106.399455325999,0.6099,8106.2690313925405,-0.9387601050298328,1936.8916563799808,4801.996742251442,1.0,1936.8916563799808,1.0
SVM_C_0.01_kernel_linear_classweight_None_degree_3,0.01,linear,,3.0,1910.8337724711569,5106.399455325999,0.5999,5743.585835792863,-0.1993970531995501,1936.8916563799808,4801.996742251442,0.6426,4902.086379310345,-0.034934019541716
SVM_C_0.01_kernel_linear_classweight_balanced_degree_3,0.01,linear,balanced,3.0,1910.8337724711569,5106.399455325999,0.3901,22016.923356587067,-5.291871793464,1936.8916563799808,4801.996742251442,0.5523,17322.68444854421,-4.370062294760274
SVM_C_0.1_kernel_linear_classweight_None_degree_3,0.1,linear,,3.0,1910.8337724711569,5106.399455325999,0.615,6761.566316071907,-0.5179573900252994,1936.8916563799808,4801.996742251442,0.687,5133.728399302295,-0.1157834170504612
SVM_C_0.1_kernel_linear_classweight_balanced_degree_3,0.1,linear,balanced,3.0,1910.8337724711569,5106.399455325999,0.4263,20387.527810571508,-4.781979114756831,1936.8916563799808,4801.996742251442,0.6096,15223.574684019855,-3.637415602366484
SVM_C_0.2_kernel_linear_classweight_None_degree_3,0.2,linear,,3.0,1910.8337724711569,5106.399455325999,0.6166,7115.197727394688,-0.6286205546787811,1936.8916563799808,4801.996742251442,0.7009,5084.316866362538,-0.0985374412629005
SVM_C_0.2_kernel_linear_classweight_balanced_degree_3,0.2,linear,balanced,3.0,1910.8337724711569,5106.399455325999,0.4416,19887.82463911994,-4.625605182550516,1936.8916563799808,4801.996742251442,0.6248,14600.519174828927,-3.4199521968308995
SVM_C_1_kernel_linear_classweight_None_degree_3,1.0,linear,,3.0,1910.8337724711569,5106.399455325999,0.6058,8717.7037080762,-1.13009858383632,1936.8916563799808,4801.996742251442,0.7395,5093.772219240575,-0.1018376179037723
SVM_C_1_kernel_linear_classweight_balanced_degree_3,1.0,linear,balanced,3.0,1910.8337724711569,5106.399455325999,0.4661,18707.245865307217,-4.256162369922105,1936.8916563799808,4801.996742251442,0.6571,13336.027034080236,-2.97860987155836
SVM_C_0.3_kernel_rbf_classweight_None_degree_3,0.3,rbf,,3.0,1910.8337724711569,5106.399455325999,0.616,4983.015717735445,0.0386109220826047,1936.8916563799808,4801.996742251442,0.6183,4676.81801288072,0.0436907986335333
