,max_depth,learning_rate,n_estimators,min_child_weight,subsample,Seed,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
XGB_depth_3_lr_0.01_estimators_100_childweight_2_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.01,100.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6788,2972.112015025489,0.6678903368350696,1936.8916563799808,4801.996742251442,0.6642,3013.657381591306,0.6241793257353379
XGB_depth_3_lr_0.01_estimators_100_childweight_1_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.01,100.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6786,2986.517327609337,0.663382429937353,1936.8916563799808,4801.996742251442,0.6645,3010.559011807325,0.6252607414918696
XGB_depth_3_lr_0.01_estimators_100_childweight_2_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.01,100.0,2.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.6783,3002.174386906359,0.6584828093847145,1936.8916563799808,4801.996742251442,0.6648,3013.864260029518,0.6241071195048468
XGB_depth_3_lr_0.01_estimators_100_childweight_1_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.01,100.0,1.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.6783,3003.450190501744,0.6580835675220829,1936.8916563799808,4801.996742251442,0.6651,3014.4169529048704,0.6239142145820646
XGB_depth_3_lr_0.01_estimators_200_childweight_1_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.01,200.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6812,3057.1677622752886,0.6412735322717497,1936.8916563799808,4801.996742251442,0.6737,3005.4360888232927,0.6270487816615986
XGB_depth_3_lr_0.01_estimators_200_childweight_2_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.01,200.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6804,3059.20035685538,0.6406374650517903,1936.8916563799808,4801.996742251442,0.6738,3006.91594257346,0.6265322722471743
XGB_depth_3_lr_0.01_estimators_200_childweight_2_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.01,200.0,2.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.6775,3234.202524818889,0.58587339967756,1936.8916563799808,4801.996742251442,0.675,3043.884384140614,0.6136292755126201
XGB_depth_3_lr_0.01_estimators_200_childweight_1_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.01,200.0,1.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.6772,3247.995929702173,0.5815569792837345,1936.8916563799808,4801.996742251442,0.6746,3058.3911612773377,0.6085660137117668
XGB_depth_6_lr_0.01_estimators_200_childweight_2_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.01,200.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.718,3624.617979608264,0.4636992704196107,1936.8916563799808,4801.996742251442,0.7421,3252.536794579364,0.5408038802181627
XGB_depth_6_lr_0.01_estimators_200_childweight_1_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.01,200.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.7167,3681.396112154548,0.4459314827471758,1936.8916563799808,4801.996742251442,0.7429,3233.7210801019723,0.5473710789468154
XGB_depth_6_lr_0.01_estimators_200_childweight_1_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.01,200.0,1.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.7277,3728.723697343708,0.431121089256256,1936.8916563799808,4801.996742251442,0.7482,3265.196600697706,0.5363852617944369
XGB_depth_6_lr_0.01_estimators_200_childweight_2_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.01,200.0,2.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.7274,3741.309758518916,0.4271824873233538,1936.8916563799808,4801.996742251442,0.7473,3269.6890560847983,0.5348172720514967
XGB_depth_6_lr_0.01_estimators_100_childweight_2_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.01,100.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.714,4013.832497987658,0.3419009545634711,1936.8916563799808,4801.996742251442,0.7335,3534.03376090165,0.4425537435266964
