,max_depth,learning_rate,n_estimators,min_child_weight,subsample,Seed,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
XGB_depth_3_lr_0.001_estimators_50_childweight_2_subsample_0.8_seed_1,3.0,0.001,50.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.678,2928.3276790984705,0.6815919284380633,1936.8916563799808,4801.996742251442,0.6627,2964.306987119281,0.6414039625262828
XGB_depth_3_lr_0.001_estimators_100_childweight_0.5_subsample_0.8_seed_1,3.0,0.001,100.0,0.5,0.8,1.0,1910.8337724711569,5106.399455325999,0.6772,2932.234644486182,0.680369307539149,1936.8916563799808,4801.996742251442,0.6622,2976.4865175097275,0.6371529734611674
XGB_depth_3_lr_0.001_estimators_100_childweight_2_subsample_0.8_seed_1,3.0,0.001,100.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6772,2932.234644486182,0.680369307539149,1936.8916563799808,4801.996742251442,0.662,2976.8352368173887,0.6370312608896527
XGB_depth_3_lr_0.001_estimators_100_childweight_1_subsample_0.8_seed_1,3.0,0.001,100.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6767,2934.0827394687417,0.6797909764497663,1936.8916563799808,4801.996742251442,0.6622,2976.486496712733,0.6371529807198869
XGB_depth_3_lr_0.001_estimators_50_childweight_0.5_subsample_0.8_seed_1,3.0,0.001,50.0,0.5,0.8,1.0,1910.8337724711569,5106.399455325999,0.678,2940.479165548699,0.6777893195555658,1936.8916563799808,4801.996742251442,0.6628,2967.312373540856,0.6403550005051706
XGB_depth_2_lr_0.01_estimators_50_childweight_1_subsample_0.7_seed_1,2.0,0.01,50.0,1.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6759,2940.7984706198013,0.6776893982574945,1936.8916563799808,4801.996742251442,0.6612,2984.4125050315306,0.634386587138764
XGB_depth_2_lr_0.01_estimators_50_childweight_2_subsample_0.7_seed_1,2.0,0.01,50.0,2.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6759,2940.7984706198013,0.6776893982574945,1936.8916563799808,4801.996742251442,0.6612,2984.4125050315306,0.634386587138764
XGB_depth_2_lr_0.01_estimators_50_childweight_0.5_subsample_0.7_seed_1,2.0,0.01,50.0,0.5,0.7,1.0,1910.8337724711569,5106.399455325999,0.6759,2940.7984706198013,0.6776893982574945,1936.8916563799808,4801.996742251442,0.6611,2984.535105326714,0.6343437962841499
XGB_depth_2_lr_0.001_estimators_200_childweight_1_subsample_0.6_seed_1,2.0,0.001,200.0,1.0,0.6,1.0,1910.8337724711569,5106.399455325999,0.6756,2940.960619801449,0.677638656323909,1936.8916563799808,4801.996742251442,0.6608,2982.2719260700387,0.6351337077145669
XGB_depth_2_lr_0.001_estimators_200_childweight_2_subsample_0.6_seed_1,2.0,0.001,200.0,2.0,0.6,1.0,1910.8337724711569,5106.399455325999,0.6756,2940.960619801449,0.677638656323909,1936.8916563799808,4801.996742251442,0.6607,2985.616485307929,0.6339663651083973
XGB_depth_2_lr_0.001_estimators_200_childweight_0.5_subsample_0.6_seed_1,2.0,0.001,200.0,0.5,0.6,1.0,1910.8337724711569,5106.399455325999,0.6756,2940.960619801449,0.677638656323909,1936.8916563799808,4801.996742251442,0.6607,2985.616485307929,0.6339663651083973
XGB_depth_2_lr_0.01_estimators_50_childweight_1_subsample_0.6_seed_1,2.0,0.01,50.0,1.0,0.6,1.0,1910.8337724711569,5106.399455325999,0.6759,2941.472825328682,0.6774783699840032,1936.8916563799808,4801.996742251442,0.6615,2989.349707500336,0.6326633685059985
XGB_depth_2_lr_0.01_estimators_50_childweight_0.5_subsample_0.6_seed_1,2.0,0.01,50.0,0.5,0.6,1.0,1910.8337724711569,5106.399455325999,0.6759,2941.472825328682,0.6774783699840032,1936.8916563799808,4801.996742251442,0.6615,2989.349707500336,0.6326633685059985
XGB_depth_2_lr_0.01_estimators_50_childweight_2_subsample_0.6_seed_1,2.0,0.01,50.0,2.0,0.6,1.0,1910.8337724711569,5106.399455325999,0.6759,2941.472825328682,0.6774783699840032,1936.8916563799808,4801.996742251442,0.6614,2992.6942667382264,0.631496025899829
XGB_depth_3_lr_0.001_estimators_50_childweight_1_subsample_0.9_seed_1,3.0,0.001,50.0,1.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.6775,2943.201875503086,0.6769372920197227,1936.8916563799808,4801.996742251442,0.6641,2961.739573997048,0.6423000598927961
