,max_depth,learning_rate,n_estimators,min_child_weight,subsample,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
XGB_depth_3_lr_0.01_estimators_100_childweight_1_subsample_0.8_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.01,100.0,1.0,0.8,1910.8337724711569,5106.399455325999,0.667,8828.476740005366,-1.164763191897264,1936.8916563799808,4801.996742251442,0.6727,8524.043730041594,-1.2990961504848402
XGB_depth_3_lr_0.01_estimators_100_childweight_1_subsample_1_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.01,100.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.6678,8533.670705661389,-1.0725084665678182,1936.8916563799808,4801.996742251442,0.6738,8278.737931034482,-1.2134777205651923
XGB_depth_3_lr_0.01_estimators_100_childweight_2_subsample_0.8_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.01,100.0,2.0,0.8,1910.8337724711569,5106.399455325999,0.667,8828.476740005366,-1.164763191897264,1936.8916563799808,4801.996742251442,0.673,8513.982871997852,-1.2955846359880931
XGB_depth_3_lr_0.01_estimators_100_childweight_2_subsample_1_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.01,100.0,2.0,1.0,1910.8337724711569,5106.399455325999,0.6678,8533.670705661389,-1.0725084665678182,1936.8916563799808,4801.996742251442,0.6736,8295.6137092446,-1.21936782850341
XGB_depth_3_lr_0.01_estimators_200_childweight_1_subsample_0.8_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.01,200.0,1.0,0.8,1910.8337724711569,5106.399455325999,0.699,7308.686063858331,-0.6891695640456563,1936.8916563799808,4801.996742251442,0.7131,6842.532669394875,-0.7122028218810605
XGB_depth_3_lr_0.01_estimators_200_childweight_1_subsample_1_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.01,200.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.6939,7671.354258116447,-0.8026606420741691,1936.8916563799808,4801.996742251442,0.7073,7128.015541392728,-0.811844148618303
XGB_depth_3_lr_0.01_estimators_200_childweight_2_subsample_0.8_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.01,200.0,2.0,0.8,1910.8337724711569,5106.399455325999,0.7003,7268.69915749933,-0.6766563158988437,1936.8916563799808,4801.996742251442,0.7125,6857.3824466657725,-0.7173858001055333
XGB_depth_3_lr_0.01_estimators_200_childweight_2_subsample_1_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.01,200.0,2.0,1.0,1910.8337724711569,5106.399455325999,0.6949,7658.041711832573,-0.7984946985120323,1936.8916563799808,4801.996742251442,0.7075,7132.70840332752,-0.8134820857250198
XGB_depth_3_lr_0.1_estimators_100_childweight_1_subsample_0.8_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.1,100.0,1.0,0.8,1910.8337724711569,5106.399455325999,0.7593,5635.342326267776,-0.1655240177911887,1936.8916563799808,4801.996742251442,0.8132,4544.331610760768,0.0899321748306141
XGB_depth_3_lr_0.1_estimators_100_childweight_1_subsample_1_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.1,100.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.7572,5739.553332438959,-0.1981351472479562,1936.8916563799808,4801.996742251442,0.8124,4461.89654501543,0.1187042663506933
XGB_depth_3_lr_0.1_estimators_100_childweight_2_subsample_0.8_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.1,100.0,2.0,0.8,1910.8337724711569,5106.399455325999,0.7615,5690.466729272874,-0.1827742978592392,1936.8916563799808,4801.996742251442,0.8139,4533.4811384677305,0.0937192862865058
XGB_depth_3_lr_0.1_estimators_100_childweight_2_subsample_1_objective_multi:softmax_evalmetric_merror_seed_1,3.0,0.1,100.0,2.0,1.0,1910.8337724711569,5106.399455325999,0.7609,5554.372229675342,-0.1401857507585746,1936.8916563799808,4801.996742251442,0.8134,4488.1697578156445,0.1095341968374408
