,greedy,dynamic_programming,branch_and_bound
knapPI_1_1000_10000000_10.csv,0.0,50000.0,3.97
knapPI_1_1000_10000000_100.csv,50000.0,50000.0,2.61
knapPI_1_1000_10000000_101.csv,0.02,50000.0,3.48
knapPI_1_1000_10000000_102.csv,50000.0,50000.0,8.07
knapPI_1_1000_10000000_103.csv,50000.0,50000.0,7.7
knapPI_1_1000_10000000_104.csv,50000.0,50000.0,2.61
knapPI_1_1000_10000000_105.csv,50000.0,50000.0,3.6
knapPI_1_1000_10000000_106.csv,50000.0,50000.0,2.72
knapPI_1_1000_10000000_107.csv,50000.0,50000.0,15.42
knapPI_1_1000_10000000_108.csv,50000.0,50000.0,5001.38
knapPI_1_1000_10000000_109.csv,50000.0,50000.0,3.76
knapPI_1_1000_10000000_11.csv,50000.0,50000.0,3.25
knapPI_1_1000_10000000_110.csv,0.0,50000.0,2.5
knapPI_1_1000_10000000_111.csv,50000.0,50000.0,5.24
knapPI_1_1000_10000000_112.csv,50000.0,50000.0,4.18
knapPI_1_1000_10000000_113.csv,0.01,50000.0,4.52
knapPI_1_1000_10000000_114.csv,50000.0,50000.0,175.46
knapPI_1_1000_10000000_115.csv,50000.0,50000.0,59.67
knapPI_1_1000_10000000_116.csv,0.0,50000.0,2.5
knapPI_1_1000_10000000_117.csv,50000.0,50000.0,9.27
knapPI_1_1000_10000000_118.csv,50000.0,50000.0,11.55
knapPI_1_1000_10000000_119.csv,50000.0,50000.0,3.54
knapPI_1_1000_10000000_12.csv,50000.0,50000.0,3.52
knapPI_1_1000_10000000_120.csv,50000.0,50000.0,99.74
knapPI_1_1000_10000000_121.csv,50000.0,50000.0,7.33
knapPI_1_1000_10000000_122.csv,50000.0,50000.0,4.25
knapPI_1_1000_10000000_123.csv,50000.0,50000.0,4.08
knapPI_1_1000_10000000_124.csv,50000.0,50000.0,419.53
knapPI_1_1000_10000000_125.csv,50000.0,50000.0,12.71
knapPI_1_1000_10000000_126.csv,50000.0,50000.0,5.03
knapPI_1_1000_10000000_127.csv,50000.0,50000.0,4.05
knapPI_1_1000_10000000_128.csv,50000.0,50000.0,8.91
knapPI_1_1000_10000000_129.csv,50000.0,50000.0,8.91
knapPI_1_1000_10000000_13.csv,50000.0,50000.0,0.71
knapPI_1_1000_10000000_130.csv,50000.0,50000.0,7.74
knapPI_1_1000_10000000_131.csv,50000.0,50000.0,8.22
knapPI_1_1000_10000000_132.csv,50000.0,50000.0,867.89
knapPI_1_1000_10000000_133.csv,50000.0,50000.0,50.76
knapPI_1_1000_10000000_134.csv,50000.0,50000.0,5000.4
knapPI_1_1000_10000000_135.csv,50000.0,50000.0,1.6
knapPI_1_1000_10000000_136.csv,50000.0,50000.0,193.94
knapPI_1_1000_10000000_137.csv,0.02,50000.0,3.47
knapPI_1_1000_10000000_138.csv,50000.0,50000.0,5000.0
knapPI_1_1000_10000000_139.csv,50000.0,50000.0,5001.77
knapPI_1_1000_10000000_14.csv,50000.0,50000.0,2.58
knapPI_1_1000_10000000_140.csv,50000.0,50000.0,86.39
knapPI_1_1000_10000000_141.csv,50000.0,50000.0,1.75
knapPI_1_1000_10000000_142.csv,50000.0,50000.0,20.83
knapPI_1_1000_10000000_143.csv,50000.0,50000.0,5000.44
knapPI_1_1000_10000000_144.csv,50000.0,50000.0,6.96
knapPI_1_1000_10000000_145.csv,0.0,50000.0,1.42
knapPI_1_1000_10000000_146.csv,50000.0,50000.0,96.7
knapPI_1_1000_10000000_147.csv,50000.0,50000.0,3.08
knapPI_1_1000_10000000_148.csv,50000.0,50000.0,14.31
knapPI_1_1000_10000000_149.csv,50000.0,50000.0,9.33
knapPI_1_1000_10000000_15.csv,50000.0,50000.0,2.47
knapPI_1_1000_10000000_150.csv,50000.0,50000.0,18.71
knapPI_1_1000_10000000_151.csv,0.0,50000.0,2.53
knapPI_1_1000_10000000_152.csv,50000.0,50000.0,3.28
knapPI_1_1000_10000000_153.csv,50000.0,50000.0,24.19
knapPI_1_1000_10000000_154.csv,50000.0,50000.0,5000.96
knapPI_1_1000_10000000_155.csv,50000.0,50000.0,22.66
knapPI_1_1000_10000000_156.csv,50000.0,50000.0,2.15
knapPI_1_1000_10000000_157.csv,50000.0,50000.0,18.74
knapPI_1_1000_10000000_158.csv,0.0,50000.0,0.53
knapPI_1_1000_10000000_159.csv,50000.0,50000.0,106.42
knapPI_1_1000_10000000_16.csv,50000.0,50000.0,46.91
knapPI_1_1000_10000000_160.csv,50000.0,50000.0,224.89
knapPI_1_1000_10000000_161.csv,50000.0,50000.0,2.99
knapPI_1_1000_10000000_162.csv,50000.0,50000.0,4.77
knapPI_1_1000_10000000_163.csv,50000.0,50000.0,3.06
knapPI_1_1000_10000000_164.csv,0.01,50000.0,3.54
knapPI_1_1000_10000000_165.csv,0.0,50000.0,2.64
knapPI_1_1000_10000000_166.csv,50000.0,50000.0,12.82
knapPI_1_1000_10000000_167.csv,50000.0,50000.0,16.83
knapPI_1_1000_10000000_168.csv,50000.0,50000.0,25.26
knapPI_1_1000_10000000_169.csv,0.0,50000.0,2.05
knapPI_1_1000_10000000_17.csv,50000.0,50000.0,5.0
knapPI_1_1000_10000000_170.csv,50000.0,50000.0,10.23
knapPI_1_1000_10000000_171.csv,50000.0,50000.0,5000.14
knapPI_1_1000_10000000_172.csv,50000.0,50000.0,5002.67
knapPI_1_1000_10000000_173.csv,50000.0,50000.0,2.84
knapPI_1_1000_10000000_174.csv,50000.0,50000.0,2.37
knapPI_1_1000_10000000_175.csv,0.13,50000.0,3.57
knapPI_1_1000_10000000_176.csv,50000.0,50000.0,38.47
knapPI_1_1000_10000000_177.csv,50000.0,50000.0,3.4
knapPI_1_1000_10000000_178.csv,0.0,50000.0,5.17
