,time
hardInstancesPI/n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_100.csv,100000
hardInstancesPI/n_1000_c_100000000_g_2_f_0.2_eps_0.1_s_200.csv,100000
hardInstancesPI/n_1000_c_1000000_g_14_f_0.3_eps_0_s_200.csv,780.1
hardInstancesPI/n_1000_c_1000000_g_2_f_0.3_eps_0.001_s_100.csv,494.8
hardInstancesPI/n_1000_c_1000000_g_6_f_0.2_eps_0.001_s_100.csv,720.5
hardInstancesPI/n_1000_c_100000000_g_2_f_0.1_eps_0_s_200.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_300.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_300.csv,100000
hardInstancesPI/n_1000_c_1000000_g_14_f_0.2_eps_0.0001_s_200.csv,760.3
hardInstancesPI/n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_300.csv,100000
hardInstancesPI/n_1000_c_100000000_g_2_f_0.3_eps_0_s_300.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_300.csv,100000
hardInstancesPI/n_1000_c_100000000_g_6_f_0.3_eps_0.01_s_200.csv,100000
hardInstancesPI/n_1000_c_100000000_g_2_f_0.3_eps_0.01_s_200.csv,100000
hardInstancesPI/n_1000_c_100000000_g_14_f_0.3_eps_0.001_s_300.csv,100000
hardInstancesPI/n_1000_c_100000000_g_14_f_0.3_eps_0_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_2_f_0.1_eps_1e-05_s_100.csv,482.3
hardInstancesPI/n_1000_c_100000000_g_6_f_0.2_eps_0.0001_s_300.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_14_f_0.2_eps_1e-05_s_100.csv,768.7
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.1_eps_0_s_100.csv,100000
hardInstancesPI/n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_200.csv,100000
hardInstancesPI/n_1000_c_1000000_g_10_f_0.3_eps_0_s_200.csv,774.0
hardInstancesPI/n_1000_c_10000000000_g_6_f_0.2_eps_0_s_200.csv,100000
hardInstancesPI/n_1000_c_100000000_g_14_f_0.3_eps_0.0001_s_100.csv,100000
hardInstancesPI/n_1000_c_100000000_g_2_f_0.2_eps_0.1_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_10_f_0.2_eps_0.1_s_300.csv,740.5
hardInstancesPI/n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300.csv,100000
hardInstancesPI/n_1000_c_1000000_g_6_f_0.1_eps_0.1_s_300.csv,680.6
hardInstancesPI/n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_200.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_200.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_200.csv,100000
hardInstancesPI/n_1000_c_1000000_g_10_f_0.2_eps_0.1_s_100.csv,746.3
hardInstancesPI/n_1000_c_100000000_g_2_f_0.2_eps_0_s_300.csv,100000
hardInstancesPI/n_1000_c_1000000_g_6_f_0.2_eps_0.01_s_100.csv,742.2
hardInstancesPI/n_1000_c_100000000_g_10_f_0.2_eps_0_s_200.csv,100000
hardInstancesPI/n_1000_c_1000000_g_2_f_0.3_eps_0.0001_s_300.csv,506.6
hardInstancesPI/n_1000_c_10000000000_g_10_f_0.1_eps_0_s_300.csv,100000
hardInstancesPI/n_1000_c_100000000_g_14_f_0.3_eps_1e-05_s_300.csv,100000
hardInstancesPI/n_1000_c_1000000_g_6_f_0.1_eps_0.0001_s_200.csv,720.2
hardInstancesPI/n_1000_c_100000000_g_6_f_0.1_eps_0.1_s_100.csv,100000
hardInstancesPI/n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_200.csv,100000
hardInstancesPI/n_1000_c_100000000_g_6_f_0.1_eps_0_s_300.csv,100000
hardInstancesPI/n_1000_c_100000000_g_14_f_0.2_eps_0.1_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_14_f_0.3_eps_0.1_s_300.csv,768.6
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_100.csv,100000
hardInstancesPI/n_1000_c_100000000_g_14_f_0.3_eps_0.001_s_200.csv,100000
hardInstancesPI/n_1000_c_1000000_g_14_f_0.3_eps_0_s_100.csv,765.7
hardInstancesPI/n_1000_c_1000000_g_14_f_0.1_eps_0.1_s_100.csv,775.6
hardInstancesPI/n_1000_c_1000000_g_6_f_0.3_eps_1e-05_s_200.csv,726.8
hardInstancesPI/n_1000_c_1000000_g_10_f_0.2_eps_0.01_s_200.csv,808.5
hardInstancesPI/n_1000_c_100000000_g_2_f_0.2_eps_0.1_s_300.csv,100000
hardInstancesPI/n_1000_c_100000000_g_6_f_0.3_eps_1e-05_s_200.csv,100000
hardInstancesPI/n_1000_c_100000000_g_14_f_0.2_eps_0.001_s_200.csv,100000
hardInstancesPI/n_1000_c_1000000_g_14_f_0.1_eps_0.1_s_200.csv,790.0
hardInstancesPI/n_1000_c_100000000_g_6_f_0.2_eps_1e-05_s_100.csv,100000
hardInstancesPI/n_1000_c_100000000_g_2_f_0.1_eps_0.01_s_300.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_200.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_2_f_0.3_eps_0_s_100.csv,489.3
hardInstancesPI/n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_300.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_200.csv,100000
hardInstancesPI/n_1000_c_100000000_g_6_f_0.1_eps_0.01_s_200.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_300.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_2_f_0.3_eps_0.1_s_200.csv,434.5
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_100.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_10_f_0.2_eps_0_s_200.csv,100000
hardInstancesPI/n_1000_c_1000000_g_6_f_0.2_eps_0.0001_s_200.csv,733.4
hardInstancesPI/n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_10_f_0.1_eps_0.1_s_100.csv,800.6
hardInstancesPI/n_1000_c_1000000_g_10_f_0.1_eps_1e-05_s_100.csv,822.8
hardInstancesPI/n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_10_f_0.1_eps_0.0001_s_100.csv,782.8
hardInstancesPI/n_1000_c_1000000_g_2_f_0.1_eps_0.01_s_200.csv,489.2
hardInstancesPI/n_1000_c_1000000_g_2_f_0.2_eps_0_s_100.csv,498.2
hardInstancesPI/n_1000_c_1000000_g_10_f_0.2_eps_0.1_s_200.csv,749.5
hardInstancesPI/n_1000_c_100000000_g_6_f_0.1_eps_0.0001_s_200.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_300.csv,100000
hardInstancesPI/n_1000_c_100000000_g_2_f_0.3_eps_0.1_s_200.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_300.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_100.csv,100000
hardInstancesPI/n_1000_c_100000000_g_14_f_0.2_eps_1e-05_s_100.csv,100000
hardInstancesPI/n_1000_c_100000000_g_14_f_0.2_eps_0.01_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_6_f_0.3_eps_0_s_300.csv,711.1
hardInstancesPI/n_1000_c_100000000_g_6_f_0.2_eps_0_s_200.csv,100000
hardInstancesPI/n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_200.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_300.csv,100000
hardInstancesPI/n_1000_c_100000000_g_2_f_0.2_eps_0.01_s_300.csv,100000
hardInstancesPI/n_1000_c_100000000_g_10_f_0.2_eps_0_s_300.csv,100000
hardInstancesPI/n_1000_c_1000000_g_6_f_0.1_eps_0.01_s_200.csv,764.0
hardInstancesPI/n_1000_c_1000000_g_6_f_0.3_eps_0.1_s_300.csv,677.8
hardInstancesPI/n_1000_c_100000000_g_14_f_0.2_eps_0.01_s_200.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_10_f_0.2_eps_0_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_14_f_0.3_eps_0.01_s_300.csv,810.0
hardInstancesPI/n_1000_c_1000000_g_6_f_0.3_eps_0.001_s_100.csv,711.9
hardInstancesPI/n_1000_c_100000000_g_6_f_0.2_eps_0.01_s_100.csv,100000
hardInstancesPI/n_1000_c_1000000_g_2_f_0.2_eps_1e-05_s_200.csv,508.5
hardInstancesPI/n_1000_c_1000000_g_2_f_0.1_eps_0_s_200.csv,483.9
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.2_eps_0_s_200.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_300.csv,100000
hardInstancesPI/n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_100.csv,100000
hardInstancesPI/n_1000_c_10000000000_g_2_f_0.1_eps_0_s_200.csv,100000
hardInstancesPI/n_1000_c_100000000_g_14_f_0.3_eps_0.1_s_300.csv,100000
hardInstancesPI/n_1000_c_1000000_g_10_f_0.1_eps_0_s_300.csv,778.9
hardInstancesPI/n_1000_c_100000000_g_14_f_0.3_eps_1e-05_s_100.csv,100000
